shop_name,shop_category,shop_subject,shop_facility,shop_region,shop_mon,shop_tue,shop_wed,shop_thu,shop_fri,shop_sat,shop_sun,shop_note,shop_page1,shop_page2,shop_page3,shop_tel,shop_tag,shop_address,shop_lat,shop_lon,shop_img
달팽이가게,종합생활용품,#주방 #욕실 #리필 #악세사리 #식료품,#주차 #무선인터넷,전남,12:00 ~ 17:00,12:00 ~ 17:00,12:00 ~ 17:00,12:00 ~ 17:00,12:00 ~ 17:00,12:00 ~ 17:00,휴무,,https://blog.naver.com/nadanarae,http://www.instagram.com/nadanarae,,0507-1337-1858,#친환경살림살이 #뜨개놀잇감 #담양커피 #예고은삼베 #제로웨이스트 #제로페이,전남 담양군 수북면 한수동로 548 1층 달팽이가게,35.3011921,126.9319982,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200330_234%2F1585507522190Lqnnl_JPEG%2FDqoeENS-YHa8EePEt-v04q7y.jpeg.jpg
더커먼,식료품,#주방 #욕실 #문구 #식료품 #수거 #리필 #카페 #악세사리,#예약 #무선인터넷 #반려동물동반,대구,11:00 ~ 20:30,11:00 ~ 20:30,11:00 ~ 20:30,11:00 ~ 20:30,11:00 ~ 20:30,11:00 ~ 20:30,11:00 ~ 20:30,"15:00 ~ 17:00 브레이크타임, 20:00 라스트오더",http://www.instagram.com/common.for.green,,,070-8065-7795,#로컬푸드 #비건카페 #비건푸드 #세제리필샵 #이국적인 #제로웨이스트샵 #지중해요리,대구 중구 국채보상로 741,35.8686215,128.6117302,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220126_51%2F1643186194427qWyJc_JPEG%2F7ADE223A-1276-48AC-9883-9B92E84450E5.jpeg
덕분애 제로웨이스트샵,종합생활용품,#주방 #욕실 #문구 #식료품 #수거 #리필 #위생,#포장 #무선인터넷 #반려동물동반 #남/녀화장실구분,서울,12:00 ~ 20:00,12:00 ~ 20:00,12:00 ~ 20:00,12:00 ~ 20:00,12:00 ~ 20:00,12:00 ~ 20:00,휴무,,http://www.thanksto.co.kr/,smartstore.naver.com/thankstozero,www.thanksto.co.kr/,02-6959-4479,#제로웨이스트 #플라스틱프리 #세제소분샵,서울 서초구 서운로26길 11 2층,37.5026258,127.0229867,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220519_155%2F1652918962988W0OQE_JPEG%2FKakaoTalk_20220519_090641726.jpg
데이엔시아,공방,#공방 #욕실,#포장 #예약,충북,10:00 ~ 16:30,10:00 ~ 16:30,10:00 ~ 16:30,10:00 ~ 16:30,10:00 ~ 16:30,10:00 ~ 16:30,10:00 ~ 16:30,예약제,http://instagram.com/dayncia_official,https://blog.naver.com/mini1544,http://m.smartstore.naver.com/mini1544,0507-1322-1090,#천연비누 #석고방향제 #제로웨이스트자격증반 #아트시트수료증반 #규조토자격증반,충북 청주시 상당구 상당로 136-1 3층 데이엔시아,36.6403853,127.4902066,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210328_235%2F1616865861061nGl5K_JPEG%2F1BFpCB0nrsDEjajoXEV7wJi2.jpg
데이이지,공방,#욕실 #공방,#방문접수/출장 #예약 #반려동물동반 #남/녀화장실구분,인천,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,오픈 날짜와 시간은 클래스 여부에 맞추어 변경됩니다.,https://www.instagram.com/nowus_soap,,,0507-1365-6567,#비누 #원데이클래스 #답례품 #수제비누 #제로웨이스트,인천 계양구 경명대로 1037 401호,37.5437895,126.7220074,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211104_174%2F1636000696946ID76P_JPEG%2FL084wiNc7NXcmyGPcxu1aCpH.jpeg.jpg
도돌이상점,종합생활용품,#주방 #욕실 #리필 #수거 #식료품,#주차 #포장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,경기,14:00 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 17:00,휴무,,https://www.instagram.com/dodori_store,,,0507-1308-8907,#친환경생활용품판매 #시흥제로웨이스트샵 #리필스테이션 #세제소분샵 #용기내상점,경기 시흥시 은계호수로 49 시흥 센트럴돔 그랑트리캐슬 2046호,37.445069,126.801973,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220708_14%2F1657254682951TbaaD_JPEG%2FKakaoTalk_20220708_132623835_07.jpg
도서문화공간 조용한흥분색,서점,#식료품 #도서 #카페,#단체석 #주차 #무선인터넷,전북,11:00 ~ 20:00,휴무,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,,https://blog.naver.com/m1dcoffee,https://m1dordinaryday.modoo.at/,http://www.instagram.com/colors.ordinaryday,0507-1471-8770,#독립출판물 #독립서점 #여행책방 #제로웨이스트 #복합문화공간,전북 군산시 옥구읍 옥구남로 11 1층 조용한흥분색,35.9141911,126.6929266,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221107_49%2F1667800636511yBPUA_JPEG%2F1666759397121-9.jpg
도시간,서점,#욕실 #도서,#주차 #무선인터넷 #반려동물동반,서울,휴무,휴무,18:00 ~ 21:40,18:00 ~ 21:40,18:00 ~ 21:40,13:20 ~ 19:00,13:20 ~ 19:00,,https://www.spacehost.kr/dosigan,https://www.instagram.com/do_sigan,,0507-1411-2504,#제로웨이스트 #문래책방 #독서모임 #문화 #전시,서울 영등포구 경인로77가길 15-1 도시간,37.5114744,126.8920338,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220217_68%2F1645061636726d8Gz5_PNG%2F%25B5%25B5%25BD%25C3%25B0%25A3%25B7%25CE%25B0%25ED_png.png
도아공방,공방,#주방 #욕실 #화장품 #공방,#주차,경기,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,휴무,,http://www.instagram.com/artdoah,,,010-8895-6754,#제로웨이스트샵,경기 광주시 능평로 194-14 1층 101호,37.3447525,127.1760029,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=https%3A%2F%2Fk.kakaocdn.net%2Fdn%2FbY3Rkh%2FbtroCwJgCzW%2FQa0ayhryQauE3kEGCiZGp1%2Fimg.jpg
동그란책,서점,#악세사리 #의류 #도서,#반려동물동반,강원,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,,https://www.instagram.com/a.round.book/,,,033-673-2309,#속초서점 #속초그림책방 #속초제로웨이스트샵 #속초동네책방 #속초공정무역샵,강원 속초시 중앙로46번길 45 동그란책 (교동 664-324),38.1982938,128.5833552,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200829_256%2F1598676368251m7u3X_JPEG%2F-YZmR7giM0qljaj_3Z9u0Oo0.jpeg.jpg
두더지손가게,카페,#카페,#무선인터넷,서울,휴무,휴무,10:00 ~ 18:30,10:00 ~ 18:30,10:00 ~ 20:00,10:00 ~ 18:30,휴무,,http://bit.ly/molehand_cafe,,,,#제로웨이스트샵 #제로페이,서울 영등포구 당산로52길 31-1 1층,37.5332404,126.9051399,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2BCBDF970946418BAFCD3B6FEC0F65BA
들담,종합생활용품,#주방 #욕실 #위생 #문구 #수거 #리필,#주차 #배달 #무선인터넷 #남/녀화장실구분,경북,11:00 ~ 16:00,11:00 ~ 16:00,11:00 ~ 16:00,11:00 ~ 16:00,11:00 ~ 16:00,휴무,휴무,,http://instagram.com/deuldam/,,,0507-1338-7746,#리필스테이션 #아나바다 #제로웨이스트샵 #김천제로웨이스트샵 #자원순환,경북 김천시 남산공원길 35,36.1178373,128.1174741,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210521_139%2F1621588590567pr457_JPEG%2FJzJp_5Ia3aLoSe_H2W1KY1DJ.jpg
디어에코,종합생활용품,#주방 #욕실 #문구 #식료품 #수거 #리필 #위생 #악세사리,#반려동물동반,서울,휴무,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 18:00,휴무,,https://instagram.com/dear.eco,,,,#세제리필샵 #제로웨이스트샵 #제로페이,서울 광진구 아차산로65길 22 1층,37.5412316,127.093786,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201216_36%2F1608089847460Vzq6a_JPEG%2FriN4sYnlykvEh2NWTGPHT9MV.jpeg.jpg
루온,종합생활용품,#주방 #욕실 #의류 #리필 #악세사리,#반려동물동반 #주차,경기,13:00 ~ 20:00,13:00 ~ 20:00,13:00 ~ 20:00,13:00 ~ 20:00,13:00 ~ 20:00,13:00 ~ 20:00,휴무,,http://www.instagram.com/luoncos,,,010-6452-2145,#디퓨저 #비누공방 #리필샵 #제로웨이스트 #향초,경기 성남시 분당구 황새울로18번길 18 지하1층 B01호,37.3615027,127.1120009,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD0DFAB9A5A9D4A03BC76DC709668E27B
르 캐시미어 서스테이너블해빗 서울숲,종합생활용품,#식료품 #의류 #카페,#포장 #무선인터넷 #반려동물동반 #남/녀화장실구분,서울,휴무,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,,http://lecashmere.shop/,https://www.instagram.com/sustainable_habits_/,,0507-1338-3498,#르캐시미어 #서스테이너블해빗 #제로웨이스트,서울 성동구 서울숲2길 24-8,37.5467667,127.0410708,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220223_137%2F1645599784383HbK90_PNG%2F%25BF%25C0%25C7%25C1%25B6%25F3%25C0%25CE_%25BC%25EE%25B7%25EB_%25C7%25AA%25BD%25C3_.png
리스토어,식료품,#식료품,#포장 #예약 #무선인터넷 #반려동물동반,서울,휴무,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,휴무,,https://www.instagram.com/restore_seoul,,,0507-1380-2816,#제로웨이스트 #수제페스토 #비건 #수제그릭요거트 #비건그랜놀라,서울 종로구 옥인길 17,37.580529,126.9675091,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220412_298%2F1649738196995MaVUq_JPEG%2FDSC00645.jpg
리피,공방,#의류 #악세사리 #공방,#주차 #포장 #예약 #무선인터넷 #남/녀화장실구분,강원,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 19:00,11:00 ~ 19:00,,https://blog.naver.com/leafy_wj,https://www.instagram.com/leafy_wonju,,010-5898-2208,#제스모나이트 #원데이클래스 #원주공방 #친환경소품 #제로웨이스트,강원 원주시 서원대로 121-1 엠스타빌딩 1층 102호,37.3468011,127.9267448,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220927_224%2F1664269063143f4OC3_JPEG%2FKakaoTalk_20220927_164037049.jpg
리필위드유,종합생활용품,#주방 #욕실 #식료품 #리필,#주차 #무선인터넷 #반려동물동반 #남/녀화장실구분,경기,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 18:00,휴무,,https://blog.naver.com/refeelwithyou,https://www.instagram.com/refeel_withyou,,070-7585-2427,#군포제로웨이스트샵 #산본제로웨이스트샵 #산본친환경 #군포친환경 #산본세제리필,경기 군포시 번영로 502 3층 Re-Feel: with U,37.3575562,126.9333988,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211227_116%2F16405814997253eFkR_JPEG%2F%25B7%25CE%25B0%25ED_%25C8%25AE%25B4%25EB.jpg
마리앤하우스,공방,#주방 #욕실 #문구 #의류 #악세사리 #수거 #리필 #공방,#포장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,경남,14:00 ~ 20:00,14:00 ~ 20:00,11:00 ~ 18:00,14:00 ~ 20:00,14:00 ~ 20:00,11:00 ~ 16:00,휴무,,http://m.smartstore.naver.com/mari3621,http://instagram.com/mari_n_house,,0507-1385-6229,#제로웨이스트샵 #리필스테이션 #천연비누 #소분 #원데이클래스,경남 창원시 마산합포구 3·15대로 53-1 1층,35.1846413,128.560232,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220905_249%2F1662344836084zAq7Y_JPEG%2FKakaoTalk_20220905_112541303_01.jpg
마을과마디,카페,#카페,#주차 #포장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,서울,휴무,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,12:00 ~ 21:00,,http://instagram.com/saerok_madi,http://www.facebook.com/cafe.madi.love,,02-977-1318,,서울 노원구 화랑로 464,37.6245739,127.0830557,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210729_193%2F1627543808111XCQtS_JPEG%2FIne-5jXWHzoYnYkXJB1EfKPE.jpg
마을상점생활관,서점,#의류 #카페 #도서,#무선인터넷 #반려동물동반 #주차,경기,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,휴무,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,,http://www.instagram.com/insidethevillage,www.insidethevillage.shop/,,,#문화예술공간 #제로웨이스트샵 #경기지역화폐,경기 안산시 상록구 이동공원로 35 1층,37.3101579,126.8485552,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_347787665
마을장터해뜨락,식료품,#식료품,#주차 #포장,강원,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 16:00,휴무,,,,,0507-1373-8557,#유기농제철채소 #무농약친환경두부 #제로웨이스트샵 #농도상생마을공동체 #친환경로컬푸드,강원 홍천군 서석면 풍암장터2길 49-39 1층 서편호,37.7119646,128.1858761,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220616_33%2F1655350933838DCMgj_JPEG%2F20220616_113006_HDR.jpg
마이 아일랜드,종합생활용품,#주방 #욕실,#주차 #반려동물동반,제주,휴무,12:00 ~ 16:00,12:00 ~ 16:00,12:00 ~ 16:00,12:00 ~ 16:00,휴무,휴무,,http://www.myisland.co.kr/,http://www.instagram.com/myisland_official,,0507-1375-0708,#친환경제품 #제로웨이스트 #플라스틱프리 #제로웨이스트샵 #대나무칫솔,제주 서귀포시 호근로112번길 24,33.2584528,126.5283459,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190620_32%2F1560959684099MlVlu_JPEG%2FaHe8IteZZ0tbhcHFX_w1sYEI.jpg
만큼,종합생활용품,#주방 #욕실 #화장품 #식료품 #의류 #위생,#무선인터넷,전북,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,휴무,휴무,11:00 ~ 19:00,,https://www.instagram.com/man_keum,,,063-717-0311,#제로웨이스트 #완주제로웨이스트샵 #자원순환 #전주제로웨이스트 #완주책방,전북 완주군 봉동읍 낙평신월2길 27-3 1층 101호,35.9275837,127.1616021,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220320_280%2F1647780794568oGlsk_JPEG%2F1647780346100.jpg
머머상점,종합생활용품,#욕실 #악세사리,#주차 #포장 #예약 #무선인터넷 #반려동물동반,경북,13:00 ~ 18:00,13:00 ~ 18:00,13:00 ~ 18:00,13:00 ~ 18:00,13:00 ~ 18:00,13:00 ~ 18:00,13:00 ~ 18:00,,https://www.instagram.com/mm_sangjeom,,,0507-1385-5556,#친환경생활용품 #업사이클링 #제로웨이스트 #선물가게 #구미제로웨이스트,경북 구미시 상모로8길 5-3 104호,36.089375,128.3558591,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211207_223%2F16388444737255UNxl_JPEG%2FIMG_20211203_152744_076.jpg
메리오가닉,공방,#욕실 #화장품 #공방 #카페,#주차 #무선인터넷 #반려동물동반,제주,13:00 ~ 16:00,13:00 ~ 16:00,휴무,13:00 ~ 16:00,13:00 ~ 16:00,휴무,13:00 ~ 16:00,,https://smartstore.naver.com/merryorganic,http://www.instagram.com/merryorganic_,,0507-1322-7488,#제주소품샵 #제주아로마 #신창소품샵 #밀랍초 #제로웨이스트,제주 제주시 한경면 두신로 73,33.3496986,126.1828134,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200310_247%2F15837678141859FHr4_JPEG%2FA118ATXL-YYbNA6y1PWlY73m.jpeg.jpg
메종사도,공방,#주방 #욕실 #문구 #공방,#주차 #예약 #무선인터넷 #남/녀화장실구분,부산,12:00 ~ 18:30,12:00 ~ 18:30,12:00 ~ 18:30,12:00 ~ 18:30,12:00 ~ 18:30,12:00 ~ 18:30,휴무,,https://www.instagram.com/,,,0507-1486-0243,#천연화장품 #천연비누 #원데이클래스 #제로웨이스트 #소품샵,부산 부산진구 개금온정로 10 상가 B동 110호,35.1544887,129.026717,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221023_108%2F1666491829206TsDeE_JPEG%2F20221008_222036.jpg
모뉴먼트,카페,#식료품 #공방,#단체석 #주차 #예약 #남/녀화장실구분,경북,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,18:30 라스트오더,https://blog.naver.com/monument20,http://www.instagram.com/mon_ument/,,010-6242-8999,,경북 영천시 임고면 포은로 453-223,36.0230069,128.9681655,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200218_39%2F15820295966988HibA_JPEG%2FBGtAv4MJwLiKVx--424dYWTW.jpeg.jpg
묘책 비누 입욕제 공방 & 제로웨이스트 샵,종합생활용품,#주방 #욕실 #악세사리 #리필 #식료품 #공방,#방문접수/출장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,경기,휴무,14:00 ~ 19:00,14:00 ~ 19:00,14:00 ~ 19:00,14:00 ~ 19:00,14:00 ~ 19:00,14:00 ~ 19:00,,https://blog.naver.com/myocheck,https://www.instagram.com/myo.check/,,0507-1351-1299,#제로웨이스트샵 #행궁동공방 #수원원데이클래스 #수원공방 #비누공방,경기 수원시 팔달구 정조로 848-1 3층 305호,37.2837774,127.0164022,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220816_275%2F1660647040770umQta_JPEG%2FKakaoTalk_20220816_173741502.jpg
무해공간,종합생활용품,#주방 #욕실 #문구 #리필 #수거 #악세사리,#주차 #무선인터넷 #반려동물동반,경기,13:00 ~ 19:00,휴무,13:00 ~ 19:00,13:00 ~ 19:00,13:00 ~ 19:00,13:00 ~ 19:00,13:00 ~ 19:00,,http://instagram.com/harmless_space,,,0507-1362-3074,#제로웨이스트 #천연수세미 #소분샵 #리필스테이션 #고체비누,경기 성남시 중원구 원터로105번길 5-1 1층,37.4357054,127.1419647,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220128_72%2F1643353647448IN5NJ_JPEG%2F5193673B-C2C6-4241-A976-CB4E2534204E.jpeg
물푸레북카페,서점,#카페 #공방,#단체석 #주차 #예약 #무선인터넷 #유아시설(놀이방),서울,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,10:00 ~ 18:00,휴무,,https://www.instagram.com/bookcafemulpure/,https://www.instagram.com/bookcafemulpure/,,02-356-9410,,서울 은평구 진관4로 48-51 은평뉴타운상림마을 742동 1층,37.6423834,126.9310561,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210407_218%2F1617779527394SRyq5_JPEG%2F-1y14k4s-Tqc7oTfJb1wCSyy.jpeg.jpg
밀집,카페,#식료품,#반려동물동반,인천,휴무,휴무,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 16:00,휴무,,https://www.instagram.com/bakery_meal.zip/,,,010-2798-2415,#건강빵 #사워도우 #우리밀 #자연발효종 #제로웨이스트 #제로페이,인천 연수구 샘말로8번길 11 1층,37.4116819,126.6784381,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA3B68A3A0331442692C9921869475AB4
바르게 비우고 바르게 채우는 가게_바비바채,종합생활용품,#주방 #욕실 #수거 #리필 #공방,#주차 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,경기,10:00 ~ 16:00,10:00 ~ 16:00,10:00 ~ 16:00,10:00 ~ 16:00,10:00 ~ 16:00,휴무,휴무,,https://www.instargram.com/babibachae,,,0507-1361-4342,#삼베수세미 #커피클레이 #양말목공예 #바비바채 #제로웨이스트샵,경기 김포시 김포한강11로 107 상가동 1층 10호,37.6342473,126.7370613,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220819_90%2F1660879484863NM7uE_JPEG%2F%25B9%25D9%25BA%25F1%25B9%25D9%25C3%25A4_%25C3%25D6%25C1%25BE%25C6%25C4%25C0%25CF_6.jpg
바이스텔라,공방,#공방,#주차,경기,14:00 ~ 21:00,14:00 ~ 21:00,휴무,14:00 ~ 21:00,14:00 ~ 21:00,14:00 ~ 21:00,휴무,,https://blog.naver.com/jesuisstella,www.instagram.com/studio.bystella/,,010-2038-9817,#비누공방 #비누클래스 #소이캔들 #원데이클래스 #제로웨이스트샵 #캔들공방 #캔들클래스 #제로페이,경기 김포시 유현로 19 유현마을신동아아파트 단지내 상가 403동 1층 101호,37.597196,126.7234928,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjExMDVfODkg%2FMDAxNjY3NjQ0MzIyNzQ0.ZAJjAe0qhsKGIFPtLXYB7S-7bxEqOoUts3BRnlaQNmUg.sP7Prw-w9UxMgEbBFYNGS9fBah5UlZUWSRnYLWSP29cg.JPEG.jesuisstella%2F%25EC%25A7%2581%25EC%25A0%2591%25EB%25A7%2590%25EB%25A6%25B0%25EB%25B6%2580%25EC%25BC%25802.jpg%3Ftype%3Dw966
바이탈 바이브,종합생활용품,#식료품 #카페,#단체석 #주차 #예약 #무선인터넷,서울,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,휴무,휴무,,https://www.instagram.com/vitalvibe_official,,,010-6452-1170,#복합문화공간 #제로웨이스트 #비건 #브런치카페 #공연,서울 강남구 밤고개로34길 14 Vital Vibes,37.4637546,127.1066941,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220920_197%2F16636355054755TFFe_JPEG%2FKakaoTalk_20220916_164208128_04.jpg
바이핸드,공방,#욕실 #화장품 #공방,#예약,서울,08:00 ~ 10:30,15:00 ~ 18:00,13:00 ~ 17:00,15:30 ~ 17:00,15:30 ~ 17:00,휴무,휴무,,,,,0507-1322-7856,#제로웨이스트 #아로마테라피 #화장품만들기 #비누공방 #환경,서울 중랑구 중랑천로30길 60 1층 바이핸드,37.5969957,127.0751273,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220118_116%2F1642499152020P72Am_JPEG%2F20220112_163450.jpg
반지하40,카페,#카페,#무선인터넷 #반려동물동반,경기,11:00 ~ 19:00,11:00 ~ 19:00,휴무,11:00 ~ 19:00,11:00 ~ 19:00,12:00 ~ 18:00,12:00 ~ 18:00,"공휴일 12:00 ~ 18:00, 마지막 주 토요일 휴무",,,,010-5032-2348,#제로웨이스트 #커피맛집 #쿠키맛집 #크림라떼맛집 #텀블러할인카페 #디저트카페 #빈티지분위기 #제로페이 #경기지역화폐,경기 광명시 연서로 4,37.4807219,126.8640434,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA146596407FA429F980351BE0C0E159B
버금상점,공방,#악세사리 #공방,#단체석 #예약,경남,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,휴무,,https://smartstore.naver.com/vergummarket_,,,0507-1362-8510,#씨글래스 #제로웨이스트 #비치코밍 #플로깅 #상족암군립공원,경남 고성군 상리면 신촌리,35.0159362,128.1640812,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_214%2F1649842654864b0ztX_JPEG%2FC7BC67AA-B906-4B2D-8D41-D644D35D210C.jpeg
법동 넷제로공판장,종합생활용품,#주방 #욕실 #리필,#무선인터넷 #장애인편의시설,대전,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,10:30 ~ 18:00,휴무,휴무,공휴일 휴무,https://blog.naver.com/energyhaeyou,,,010-2467-0227,#넷제로 #노플라스틱 #대전제로웨이스샵 #제로웨이스트 #탄소중립,대전 대덕구 계족로608번길 5 1층,36.3660307,127.4307308,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA8D0D132A7944AEF9EAF89F50EA70045
